extra_docs,chunk_cfg,model,family,language,iaea_priority_top10_mean,iaea_priority_top10_std
10,c1200_o120,sentence-transformers/all-MiniLM-L6-v2,baseline,en,0.44999999999999996,0.35355339059327373
10,c1200_o120,sentence-transformers/all-MiniLM-L6-v2,baseline,zh,0.6099999999999999,0.09899494936611662
10,c1200_o120,sentence-transformers/all-MiniLM-L6-v2,observation_derived,en,0.5666666666666668,0.015275252316519465
10,c1200_o120,sentence-transformers/all-MiniLM-L6-v2,observation_derived,zh,0.4533333333333333,0.0404145188432738
10,c1200_o120,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline,en,0.5700000000000001,0.26870057685088805
10,c1200_o120,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline,zh,0.71,0.11313708498984758
10,c1200_o120,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,observation_derived,en,0.7100000000000001,0.19078784028338913
10,c1200_o120,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,observation_derived,zh,0.52,0.034641016151377574
10,c1500_o150,sentence-transformers/all-MiniLM-L6-v2,baseline,en,0.605,0.06363961030678934
10,c1500_o150,sentence-transformers/all-MiniLM-L6-v2,baseline,zh,0.66,0.15556349186104043
10,c1500_o150,sentence-transformers/all-MiniLM-L6-v2,observation_derived,en,0.5833333333333334,0.04041451884327379
10,c1500_o150,sentence-transformers/all-MiniLM-L6-v2,observation_derived,zh,0.64,0.1039230484541326
10,c1500_o150,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline,en,0.64,0.22627416997969527
10,c1500_o150,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline,zh,0.735,0.1767766952966369
10,c1500_o150,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,observation_derived,en,0.6866666666666666,0.12701705922171766
10,c1500_o150,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,observation_derived,zh,0.5033333333333333,0.08144527815247082
10,c800_o80,sentence-transformers/all-MiniLM-L6-v2,baseline,en,0.71,0.08485281374238574
10,c800_o80,sentence-transformers/all-MiniLM-L6-v2,baseline,zh,0.485,0.021213203435596444
10,c800_o80,sentence-transformers/all-MiniLM-L6-v2,observation_derived,en,0.6766666666666667,0.08144527815247084
10,c800_o80,sentence-transformers/all-MiniLM-L6-v2,observation_derived,zh,0.43999999999999995,0.029999999999999985
10,c800_o80,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline,en,0.6000000000000001,0.1555634918610405
10,c800_o80,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline,zh,0.51,0.08485281374238576
10,c800_o80,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,observation_derived,en,0.6866666666666666,0.15631165450257808
10,c800_o80,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,observation_derived,zh,0.5333333333333333,0.03785938897200182
51,c1200_o120,sentence-transformers/all-MiniLM-L6-v2,baseline,en,0.15000000000000002,0.07071067811865475
51,c1200_o120,sentence-transformers/all-MiniLM-L6-v2,baseline,zh,0.30000000000000004,0.14142135623730953
51,c1200_o120,sentence-transformers/all-MiniLM-L6-v2,observation_derived,en,0.16666666666666666,0.11547005383792516
51,c1200_o120,sentence-transformers/all-MiniLM-L6-v2,observation_derived,zh,0.06666666666666667,0.11547005383792516
51,c1200_o120,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline,en,0.25,0.21213203435596428
51,c1200_o120,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline,zh,0.1,0.14142135623730953
51,c1200_o120,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,observation_derived,en,0.2333333333333333,0.11547005383792514
51,c1200_o120,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,observation_derived,zh,0.16666666666666666,0.05773502691896257
51,c1500_o150,sentence-transformers/all-MiniLM-L6-v2,baseline,en,0.05,0.07071067811865477
51,c1500_o150,sentence-transformers/all-MiniLM-L6-v2,baseline,zh,0.44999999999999996,0.21213203435596423
51,c1500_o150,sentence-transformers/all-MiniLM-L6-v2,observation_derived,en,0.16666666666666666,0.11547005383792516
51,c1500_o150,sentence-transformers/all-MiniLM-L6-v2,observation_derived,zh,0.13333333333333333,0.23094010767585033
51,c1500_o150,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline,en,0.15,0.21213203435596426
51,c1500_o150,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline,zh,0.15000000000000002,0.07071067811865477
51,c1500_o150,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,observation_derived,en,0.3,0.09999999999999999
51,c1500_o150,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,observation_derived,zh,0.0,0.0
51,c800_o80,sentence-transformers/all-MiniLM-L6-v2,baseline,en,0.3,0.0
51,c800_o80,sentence-transformers/all-MiniLM-L6-v2,baseline,zh,0.25,0.07071067811865474
51,c800_o80,sentence-transformers/all-MiniLM-L6-v2,observation_derived,en,0.20000000000000004,0.0
51,c800_o80,sentence-transformers/all-MiniLM-L6-v2,observation_derived,zh,0.03333333333333333,0.05773502691896258
51,c800_o80,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline,en,0.25,0.07071067811865474
51,c800_o80,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline,zh,0.15,0.21213203435596426
51,c800_o80,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,observation_derived,en,0.23333333333333336,0.1527525231651947
51,c800_o80,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,observation_derived,zh,0.19999999999999998,0.09999999999999998
