model,query_id,query,family,language,extra_docs,trial,pool_docs,top1_score,top10_mean_score,iaea_priority_top10,first_iaea_rank
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,0,0,13,0.2950652241706848,0.18592742085456848,1.0,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,5,0,18,0.2950652241706848,0.19619494676589966,0.6,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,5,1,18,0.2950652241706848,0.20085442066192627,0.6,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,5,2,18,0.2950652241706848,0.1869906336069107,0.9,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,5,3,18,0.2950652241706848,0.20085442066192627,0.6,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,5,4,18,0.2950652241706848,0.18710346519947052,0.9,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,5,5,18,0.2950652241706848,0.20085442066192627,0.6,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,5,6,18,0.2950652241706848,0.19619494676589966,0.6,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,5,7,18,0.2950652241706848,0.1882380247116089,0.9,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,5,8,18,0.2950652241706848,0.2043524533510208,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,5,9,18,0.2950652241706848,0.2011268138885498,0.7,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,10,0,23,0.2950652241706848,0.1936533898115158,0.7,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,10,1,23,0.2950652241706848,0.18848387897014618,0.9,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,10,2,23,0.2950652241706848,0.20387248694896698,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,10,3,23,0.2950652241706848,0.187219500541687,0.9,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,10,4,23,0.2950652241706848,0.19720038771629333,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,10,5,23,0.2950652241706848,0.20048975944519043,0.8,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,10,6,23,0.2950652241706848,0.20185987651348114,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,10,7,23,0.2950652241706848,0.20829220116138458,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,10,8,23,0.2950652241706848,0.18960030376911163,0.8,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,10,9,23,0.2950652241706848,0.1905316412448883,0.8,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,15,0,28,0.2950652241706848,0.2132555991411209,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,15,1,28,0.2950652241706848,0.21107526123523712,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,15,2,28,0.2950652241706848,0.20085442066192627,0.6,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,15,3,28,0.2950652241706848,0.19267119467258453,0.8,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,15,4,28,0.2950652241706848,0.2119082510471344,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,15,5,28,0.2950652241706848,0.19224999845027924,0.8,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,15,6,28,0.2950652241706848,0.19975538551807404,0.7,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,15,7,28,0.2950652241706848,0.20779891312122345,0.7,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,15,8,28,0.2950652241706848,0.21079294383525848,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,15,9,28,0.2950652241706848,0.2162473499774933,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,20,0,33,0.2950652241706848,0.19224999845027924,0.8,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,20,1,33,0.2950652241706848,0.20829220116138458,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,20,2,33,0.2950652241706848,0.19720038771629333,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,20,3,33,0.2950652241706848,0.21027405560016632,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,20,4,33,0.2950652241706848,0.20370058715343475,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,20,5,33,0.2950652241706848,0.20370058715343475,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,20,6,33,0.2950652241706848,0.20370058715343475,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,20,7,33,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,20,8,33,0.2950652241706848,0.2043524533510208,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,20,9,33,0.2950652241706848,0.19753997027873993,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,25,0,38,0.2950652241706848,0.21817712485790253,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,25,1,38,0.2950652241706848,0.20527100563049316,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,25,2,38,0.2950652241706848,0.20891964435577393,0.6,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,25,3,38,0.2950652241706848,0.20967023074626923,0.5,1
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,25,4,38,0.2950652241706848,0.2119082510471344,0.5,1
