model,chunk_size,chunk_overlap,query_id,query,family,language,extra_docs,trial,top1_score,top10_mean_score,iaea_priority_top10,first_iaea_rank
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,0,0,0.7712782025337219,0.7546126842498779,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,5,0,0.7712782025337219,0.7712782621383667,0.7,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,5,1,0.7712782025337219,0.7712782621383667,0.8,2
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,5,2,0.8142980337142944,0.7773939371109009,0.1,10
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,5,3,0.7712782025337219,0.7546126842498779,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,5,4,0.7712782025337219,0.7546126842498779,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,5,5,0.7712782025337219,0.7546126842498779,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,5,6,0.7712782025337219,0.7546126842498779,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,5,7,0.7766282558441162,0.7718132138252258,0.8,2
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,5,8,0.7712782025337219,0.7546126842498779,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,5,9,0.7712782025337219,0.7546126842498779,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,10,0,0.8142980337142944,0.7779289484024048,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,10,1,0.7712782025337219,0.7546126842498779,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,10,2,0.7712782025337219,0.7546126842498779,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,10,3,0.7712782025337219,0.7546126842498779,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,10,4,0.8142980337142944,0.7779289484024048,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,10,5,0.7712782025337219,0.7629454731941223,0.9,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,10,6,0.7712782025337219,0.7546126842498779,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,10,7,0.7712782025337219,0.7546126842498779,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,10,8,0.7712782025337219,0.7546126842498779,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,10,9,0.7712782025337219,0.7546126842498779,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,15,0,0.7712782025337219,0.7712782621383667,0.7,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,15,1,0.7712782025337219,0.7546126842498779,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,15,2,0.7766282558441162,0.7718132138252258,0.6,3
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,15,3,0.8142980337142944,0.7779289484024048,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,15,4,0.8142980337142944,0.7773939371109009,0.1,10
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,15,5,0.7712782025337219,0.7712782621383667,0.7,2
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,15,6,0.7712782025337219,0.7546126842498779,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,15,7,0.8142980337142944,0.7773939371109009,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,15,8,0.8142980337142944,0.7773939371109009,0.1,10
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,15,9,0.8142980337142944,0.7773939371109009,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,20,0,0.7766282558441162,0.7718132138252258,0.5,6
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,20,1,0.8142980337142944,0.7779289484024048,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,20,2,0.7766282558441162,0.7718132138252258,0.8,3
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,20,3,0.8142980337142944,0.7779289484024048,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,20,4,0.7766282558441162,0.7718132138252258,0.8,2
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,20,5,0.7766282558441162,0.7718132138252258,0.6,2
